bairro;mun;qt_den 
ONCAS DAS;DUQUE DE CAXIAS;1;
IMBARAI;DUQUE DE CAXIAS;1;
SARACURUNA;DUQUE DE CAXIAS;854;
SARACUNA;DUQUE DE CAXIAS;2;
BARRETO;DUQUE DE CAXIAS;1;
CENTENARIO;DUQUE DE CAXIAS;249;
VILA PAULINA;DUQUE DE CAXIAS;3;
CANTAO;DUQUE DE CAXIAS;1;
ANIL;DUQUE DE CAXIAS;1;
CAMPO ELISIOS;DUQUE DE CAXIAS;55;
VILA MERITI;DUQUE DE CAXIAS;198;
JARDIM OLAVO BILAC;DUQUE DE CAXIAS;1866;
DOUTOR LAUREANO;DUQUE DE CAXIAS;96;
IPANEMA;DUQUE DE CAXIAS;1;
CAMPO DOS ELISEOS;DUQUE DE CAXIAS;161;
ESPERANCA;DUQUE DE CAXIAS;1;
AMAPA;DUQUE DE CAXIAS;43;
MANGUEIRA;DUQUE DE CAXIAS;2;
VILA RUTH;DUQUE DE CAXIAS;1;
SANTA LUCIA;DUQUE DE CAXIAS;538;
TAQUARA;DUQUE DE CAXIAS;198;
CAMPO ELISEOS;DUQUE DE CAXIAS;592;
SANTA ROSA;DUQUE DE CAXIAS;4;
ELDORADO;DUQUE DE CAXIAS;1;
CHACARA ARCAMPO;DUQUE DE CAXIAS;2;
AQUITURA;DUQUE DE CAXIAS;1;
VILA ROSARIO;DUQUE DE CAXIAS;508;
PARAISO;DUQUE DE CAXIAS;2;
GARIBALDI;DUQUE DE CAXIAS;1;
MAGUEIRINHA;DUQUE DE CAXIAS;2;
GUARANI;DUQUE DE CAXIAS;1;
CAPIVARI;DUQUE DE CAXIAS;56;
SARACURUBA;DUQUE DE CAXIAS;1;
CANAAN;DUQUE DE CAXIAS;1;
DOM MANUEL;DUQUE DE CAXIAS;1;
CORIOLANO;DUQUE DE CAXIAS;5;
SARACURANA;DUQUE DE CAXIAS;5;
CAMGULO;DUQUE DE CAXIAS;1;
COPACABANA;DUQUE DE CAXIAS;17;
VILA GETULIO CABRAL;DUQUE DE CAXIAS;13;
DAS ONCAS;DUQUE DE CAXIAS;3;
BEIRAMAR;DUQUE DE CAXIAS;1;
PARQUE SANTA MARTA;DUQUE DE CAXIAS;24;
JARDIM EMBARIE;DUQUE DE CAXIAS;2;
MANTIQUIRA;DUQUE DE CAXIAS;133;
SANTO ANTONIO XEREM;DUQUE DE CAXIAS;1;
