bairro;mun;qt_den 
PAIABETA;MAGE;1;
BAIA BRANCA;MAGE;2;
MAUA;MAGE;206;
PARQUE CACULA;MAGE;17;
PARAISO;MAGE;11;
PREXERA;MAGE;1;
CIDADE NAVAL;MAGE;4;
CONGA;MAGE;1;
PARADA MODELO;MAGE;2;
PREIXEIRA;MAGE;2;
CACHOEIRA DE SANTO ALEIXO;MAGE;3;
CMDOR REIS;MAGE;43;
GUARANI;MAGE;1;
CITOLANDIA;MAGE;1;
PARQUE DAS FLORES;MAGE;1;
PIEBETA;MAGE;2;
SANTA DALILA;MAGE;33;
MAUROMACIA;MAGE;1;
GARAPA;MAGE;2;
ORACIO;MAGE;1;
SERTAO;MAGE;3;
GUIA DE PACOBAIGA;MAGE;1;
RIO DOS CAVALHEIROS;MAGE;3;
SIQUEIRA;MAGE;1;
SAO FRANCISCO;MAGE;21;
SACO DE BAIXO;MAGE;1;
MAURIMARCIA;MAGE;24;
NAZARE;MAGE;1;
PREXEIRA;MAGE;2;
SAPO;MAGE;7;
CACHOEIRA GRANDE;MAGE;8;
ITIINGA;MAGE;1;
BARREIRO;MAGE;2;
VILA OLIMPICA;MAGE;8;
BELAS FLORES;MAGE;1;
NOSSA SENHORA DA PIEDADE;MAGE;2;
IMPERADOR;MAGE;13;
VILA RECREIO;MAGE;4;
PONTE SECA;MAGE;4;
MAGEMIRIM;MAGE;10;
PAU GRANDE;MAGE;47;
PRAIA DO IMPERADOR;MAGE;31;
MORIMAR;MAGE;1;
POCO ESCURO;MAGE;1;
CANTAO;MAGE;1;
VILA NOVA;MAGE;171;
DOS MENINOS;MAGE;1;
CANELA PRETA;MAGE;1;
FREGUESIA;MAGE;1;
CETRO;MAGE;1;
MANILHA;MAGE;1;
SACRO;MAGE;1;
NOVA MA\RILIA;MAGE;1;
LAGOA QUITUNGO;MAGE;1;
BATALHA;MAGE;1;
PIABEATA;MAGE;1;
BEIRA RIO;MAGE;1;
HUMAITA;MAGE;6;
PRAIA DE OLARIA;MAGE;6;
VILA MAIA;MAGE;19;
SITIO MARINGA;MAGE;2;
PARQUE MAITA;MAGE;7;
PIABOTA;MAGE;1;
BONGABA;MAGE;3;
BATATAL;MAGE;7;
NOVO MUNDO;MAGE;1;
GAMBE;MAGE;1;
XORORO;MAGE;1;
ABRITADOR;MAGE;1;
PARADA ANGELICA;MAGE;10;
BRITADOR;MAGE;4;
DIVISA;MAGE;1;
PARADA MARINGA;MAGE;1;
JARDIM NOSSA SENHORA DA PIEDADE;MAGE;9;
PARQUE ESTRELA DOIS;MAGE;45;
YPIRANGA;MAGE;1;
CENTRAL;MAGE;2;
VILA OLIMPIA;MAGE;10;
VILA ESPERANCA;MAGE;45;
BATATAU;MAGE;1;
CENTRO;MAGE;323;
GOIA;MAGE;1;
IPIRANGA;MAGE;39;
FREXEIRAS;MAGE;10;
JARDIM BELA FLORESTA;MAGE;18;
BARDUBA;MAGE;1;
LAGOMAR;MAGE;1;
BARBUDA;MAGE;112;
NOVA MARILIA;MAGE;76;
MARIA CONDA;MAGE;1;
MONGABA;MAGE;1;
PARACAMBI;MAGE;1;
LAGORA;MAGE;1;
SANTO ALEXIDO;MAGE;2;
PARANHOS;MAGE;6;
GUIA DE PACOBAIBA;MAGE;3;
JARDIMAR;MAGE;1;
CAMPINHO;MAGE;8;
MUNDO NOVO;MAGE;161;
MAURIMACIA;MAGE;2;
FEITAL;MAGE;7;
BANANAL;MAGE;1;
COMENDADOR SOARES;MAGE;1;
PARQUE VENEZA;MAGE;9;
FLEIXEIRAS;MAGE;2;
QUITUNGO;MAGE;2;
PRAIA DA ESPERANCA;MAGE;10;
FRAGOSO;MAGE;265;
RIO DOS CAVELEIROS;MAGE;2;
LIMEIRA;MAGE;5;
TIRIRICA;MAGE;1;
VITORIA;MAGE;2;
RIO DE JANEIRO;MAGE;1;
CANAL MAGE;MAGE;1;
CITROLANDIA SERTAO;MAGE;1;
BRECHEIRA;MAGE;2;
FARGOSO;MAGE;1;
CONCEICAO;MAGE;1;
IRIRI;MAGE;7;
PAIBETA;MAGE;1;
PARQUE SANTANA;MAGE;3;
FLECHERA;MAGE;3;
CACULA;MAGE;1;
PIEDADE FEITAL;MAGE;1;
SURUI-CAMPINHO;MAGE;130;
GANDE;MAGE;9;
PONTE PRETA;MAGE;22;
CORDOVIL;MAGE;1;
PRECHEIRA;MAGE;2;
MARIMAR;MAGE;1;
MARILIA;MAGE;1;
ITAMBI;MAGE;1;
BELA FLORESTA;MAGE;7;
TEXEIRA;MAGE;3;
VILA SANTA DALILA;MAGE;2;
MADEIRA;MAGE;1;
RONCADOR;MAGE;13;
CIDADE HORACIO;MAGE;2;
TEIXEIRAS;MAGE;13;
FIGUEIRAS;MAGE;3;
TURUI;MAGE;1;
PARQUE ANCHIETA;MAGE;1;
UBATIBA;MAGE;1;
FONTE;MAGE;7;
CASCATA;MAGE;3;
CAPELA DE SANTO ALEICHO;MAGE;1;
IOMIRIM;MAGE;1;
NOVO HORIZONTE;MAGE;9;
PARQUE HUMAITA;MAGE;56;
FACO;MAGE;1;
IPERANGA;MAGE;1;
CONCEICAO DE JACAREI;MAGE;1;
ALAGOAS;MAGE;1;
IMBARIE;MAGE;6;
CAPELA SANTO ALEIXO;MAGE;9;
BNH;MAGE;6;
BURACO DA ONCA;MAGE;1;
TRECHEIRA;MAGE;1;
CANTINHO DA VOVO;MAGE;1;
BARBUDO;MAGE;4;
JARDIM NAZARENO;MAGE;22;
INHOMERIM;MAGE;1;
ARAUJO;SEROPEDICA;1;
JARDIM SAO JORGE;SEROPEDICA;15;
DUQUE DE CAXIAS;SEROPEDICA;1;
COQUEIRAL;SEROPEDICA;8;
PIRANEMA;SEROPEDICA;6;
BELVEDERES;SEROPEDICA;1;
INCRA;SEROPEDICA;11;
SANTA SOFIA;SEROPEDICA;66;
MUTIRAO;SEROPEDICA;6;
ESPERANCA;SEROPEDICA;1;
INORA;SEROPEDICA;1;
VALE DO SOL;SEROPEDICA;2;
PEIXOTO;SEROPEDICA;12;
GRAN PARA;SEROPEDICA;1;
RITA BATISTA;SEROPEDICA;1;
OZA;SEROPEDICA;1;
PRADOS VERDES;SEROPEDICA;3;
MULTIRAO;SEROPEDICA;7;
JARDIM ACACIAS;SEROPEDICA;156;
COLETIVO;SEROPEDICA;2;
BOA ESPERANCA;SEROPEDICA;207;
OSA;SEROPEDICA;1;
SAO MIGUEL;SEROPEDICA;39;
NOVA OLARIA;SEROPEDICA;4;
ECOLOGIA;SEROPEDICA;7;
JARDIM CENTRAL;SEROPEDICA;27;
SEROPEDICA;SEROPEDICA;2;
CAMPO LINDO;SEROPEDICA;498;
JARDIM DAS ACACIAS;SEROPEDICA;6;
VERA CRUZ;SEROPEDICA;3;
JARDINS ACACIAS DA;SEROPEDICA;59;
DOM BOSCO;SEROPEDICA;20;
SAO JORGE;SEROPEDICA;14;
CAMPINHO DE AREIA;SEROPEDICA;2;
JARDIM MARACANA;SEROPEDICA;64;
CANTO DO RIO;SEROPEDICA;6;
CENTRO;SEROPEDICA;142;
FONTE LIMPA;SEROPEDICA;5;
BOA FE;SEROPEDICA;8;
UNIVERSIDADE RURAL;SEROPEDICA;1;
MOTIRAO;SEROPEDICA;1;
LUIZIANIA;SEROPEDICA;1;
QUARENTA;SEROPEDICA;1;
FAZENDA CAXIAS;SEROPEDICA;118;
42;SEROPEDICA;1;
JESUITAS;SEROPEDICA;1;
JORGE ARAUJO;SEROPEDICA;3;
QUATRO;SEROPEDICA;1;
PRAINHA;SEROPEDICA;1;
CENTRO;COMENDADOR LEVY GASPARIAN;1;
TRIANGULO;CANTAGALO;4;
SAO JOSE;CANTAGALO;5;
BOA SORTE;CANTAGALO;2;
NITEROI;CANTAGALO;1;
EUCLIDELANDIA;CANTAGALO;1;
CENTRO;CANTAGALO;9;
FAZENDA SAUDADE;CANTAGALO;1;
ALDEIA DA;CANTAGALO;2;
PONTAL DE CORURIPE;CORURIPE;1;
CENTRO;PONTA PORA;1;
JUNQUEIRA;MANGARATIBA;6;
VILA MURIQUI;MANGARATIBA;17;
VILA MURITI;MANGARATIBA;1;
SACO;MANGARATIBA;1;
GRATUCAIA;MANGARATIBA;1;
FAHY;MANGARATIBA;1;
MARIQUI;MANGARATIBA;1;
PARQUE BELA VISTA;MANGARATIBA;11;
CAI;MANGARATIBA;2;
RIBEIRA;MANGARATIBA;1;
SERRA DO PILOTO;MANGARATIBA;5;
PRAIA DE SANTO ANTONIO;MANGARATIBA;1;
ELRANCHITO;MANGARATIBA;3;
ILHA GRANDE;MANGARATIBA;1;
BRASILINHA;MANGARATIBA;1;
SANTA TEREZA;MANGARATIBA;3;
ILHA DE TACURUCA;MANGARATIBA;1;
SANTO ANTONIO;MANGARATIBA;3;
SAI;MANGARATIBA;3;
CONCEICAO DE JAREI;MANGARATIBA;3;
MANGARATIBA;MANGARATIBA;3;
JAGUANU;MANGARATIBA;1;
SERRADO;MANGARATIBA;4;
SAHI;MANGARATIBA;1;
BATATAL;MANGARATIBA;1;
PRAIA DO SAIR;MANGARATIBA;9;
RUINAS;MANGARATIBA;2;
FILGUEIRAS;MANGARATIBA;2;
CONCEICAO DO JACAREI;MANGARATIBA;73;
NOVA MANGARATIBA;MANGARATIBA;13;
ILHA DE ITACURUCA;MANGARATIBA;139;
ITACURACA;MANGARATIBA;3;
ITACURUSA;MANGARATIBA;1;
ITACURUSSA;MANGARATIBA;6;
MORAES;MANGARATIBA;2;
PRAIA PEQUENA;MANGARATIBA;10;
IBICUI;MANGARATIBA;19;
VILA BENEDITA;MANGARATIBA;2;
CENTRO;MANGARATIBA;81;
PRAIA DO SACO;MANGARATIBA;63;
PRAIA SATO;MANGARATIBA;1;
IBUCUI;MANGARATIBA;1;
ACAMPAMENTO;MANGARATIBA;1;
MARINA PORTO;MANGARATIBA;1;
CURUBITIBA;MANGARATIBA;1;
MURIQUI;MANGARATIBA;165;
EL RANCHEDO;MANGARATIBA;1;
SILVA REGO;MANGARATIBA;1;
CONCEICAO DE JACAREI;MANGARATIBA;26;
COROA GRANDE;MANGARATIBA;4;
PRAIA GRANDE;MANGARATIBA;3;
CAHY;MANGARATIBA;1;
SAHY;MANGARATIBA;9;
RANCHITO;MANGARATIBA;7;
AXIXA;MANGARATIBA;3;
CONCEICAO DE JACARAI;MANGARATIBA;5;
GARACUTAIA;MANGARATIBA;1;
JUNGUEIRA;MANGARATIBA;1;
MARINA PORTO ITACURUCA;MANGARATIBA;1;
CENTRO;RECREIO;2;
SANTO ANTONIO;VISCONDE DO RIO BRANCO;1;
FORMIGA;VISCONDE DO RIO BRANCO;1;
IRAJA;SAO BERNARDO DO CAMPO;2;
CATALANE;SAO BERNARDO DO CAMPO;1;
GEOVANINI;CORONEL FABRICIANO;1;
MANOEL RIBEIRO;MARICA;9;
TUBARAO;MARICA;1;
SAO BENTO DA LOGOA;MARICA;3;
BANBUI;MARICA;1;
CONDADO DE MARICA;MARICA;6;
FLAMENGO;MARICA;84;
CAXETO;MARICA;1;
BRISAMAR;MARICA;1;
MUMBUNCA;MARICA;1;
COLINA;MARICA;3;
BARROCOS;MARICA;3;
SAO JOSE;MARICA;15;
AMIZADE;MARICA;93;
ESTRAIADO;MARICA;1;
PONTA GROSSA;MARICA;36;
TIJUCA;MARICA;1;
ITIPUACU;MARICA;1;
COCADINHO;MARICA;1;
ITAIPU;MARICA;1;
SAO JOSE DE BARASSAI;MARICA;1;
TOCAIA DO VALE;MARICA;3;
COCADINHA;MARICA;4;
SAO JOSE DO AMBACAI;MARICA;2;
TAQUARAL;MARICA;1;
PARQUES DAS FLORES;MARICA;4;
RECANTO ITAIPUACU;MARICA;16;
PONTE PRETA;MARICA;3;
JACONE;MARICA;3;
CAPEBA;MARICA;1;
FIGUEIRA;MARICA;1;
JACAROA;MARICA;26;
ARASATIBA;MARICA;1;
SACOS DAS FLORES;MARICA;73;
AREAL;MARICA;1;
MURIQUI;MARICA;2;
CAXITO;MARICA;12;
NOVA METROPOLE;MARICA;3;
FACO DAS FLORES;MARICA;2;
CAJU JACAROA;MARICA;35;
SAO JOSE DE IBACAI;MARICA;2;
SACO DAS FLORES;MARICA;57;
INUAN;MARICA;1;
CODEIRINHO;MARICA;1;
SILVADO;MARICA;3;
ALMERINDA;MARICA;4;
STAR;MARICA;1;
LAGOA DE JACAROA;MARICA;3;
ITAIPUACU;MARICA;557;
INOA;MARICA;453;
SAO JOSE DO IMBACAI;MARICA;9;
ITAIPUACA;MARICA;1;
PONTE NEGRA;MARICA;69;
EMBACAI;MARICA;1;
SAO JOSE DE IBASSAI;MARICA;1;
ALECRIM;MARICA;1;
JARDIM MIRAMAR;MARICA;9;
SUBIDA DO CLAN;MARICA;1;
VALE FIGUEIRA;MARICA;9;
ITAOCAIA VELLEY;MARICA;2;
SAO JOSE EMBASSAI;MARICA;11;
JARDIM ATLANTICO;MARICA;48;
CORDEIRINHO;MARICA;173;
ZACARIAS;MARICA;3;
AMIZADA;MARICA;1;
MARQUES;MARICA;51;
ITAPUACU;MARICA;4;
PEDREIRAS;MARICA;26;
MULTIRAO;MARICA;1;
SAO JOSE DO IMBASSAI;MARICA;199;
PRACINHA;MARICA;2;
SAO JOSE IMBASSAY;MARICA;5;
MARICA;MARICA;3;
LAGOMAR;MARICA;1;
BOA VISTA;MARICA;3;
GUARATIBA;MARICA;28;
ORDEIRINHO;MARICA;1;
PIQUET;MARICA;1;
LAGOA DE ARACATIBA;MARICA;1;
SAO BENTO DA LAGOA;MARICA;13;
MUMBUCA;MARICA;23;
GUARAPINA;MARICA;2;
EL DOURADO;MARICA;1;
ESPRAIARDO;MARICA;2;
PINDOBAL;MARICA;6;
ESPRAIADO;MARICA;15;
CHACARA INOA;MARICA;6;
IATAIPUACU;MARICA;1;
CORDERINHO;MARICA;2;
CASU;MARICA;1;
SAO JOSE DO EMBACAI;MARICA;10;
UBATUBA;MARICA;1;
PINDOBAS;MARICA;4;
COLINAS;MARICA;2;
RETIRO;MARICA;23;
CENTRAL;MARICA;1;
PINDOBAU;MARICA;1;
ITAIPUACUI;MARICA;1;
CENTRO;MARICA;182;
UBATIBA;MARICA;37;
ITAIPIACU;MARICA;2;
PIQUETE;MARICA;2;
ITAIPUCU;MARICA;1;
SAO JOSE DO IMBASAI;MARICA;2;
SACO DA LAMA;MARICA;5;
ITAPEVA;MARICA;1;
DIVINEIA;MARICA;2;
CACHITO;MARICA;5;
MAMBUCA;MARICA;2;
BANANAL;MARICA;24;
DOMICIO DA GAMA;MARICA;1;
PONTA NEGRA;MARICA;43;
SETE PONTES;MARICA;1;
ITAUPUACU;MARICA;1;
MONBUCA;MARICA;1;
PARQUE NANCI;MARICA;30;
MARINE;MARICA;6;
SAO GERLADO;MARICA;1;
COSTA VERDE;MARICA;1;
ESPAIADO;MARICA;1;
CABO DAS FLORES;MARICA;1;
NOVA ITAPEBA;MARICA;1;
BARRA DIVINEIA;MARICA;10;
INOAN;MARICA;5;
BARRA DE MARICA;MARICA;43;
INOA SPAR;MARICA;1;
INOAM;MARICA;2;
ITAPEBA;MARICA;117;
SETE CRUZES;MARICA;1;
ITAIPUASSU;MARICA;2;
MOMBUCA;MARICA;5;
CAJUEIRO;MARICA;2;
ITATIPUACU;MARICA;1;
MUNBUCA;MARICA;4;
BOQUEIRAO;MARICA;84;
MORBUCA;MARICA;1;
BALNEARIO;MARICA;2;
BAMBUI;MARICA;44;
MANBUCA;MARICA;1;
ARACATIBA;MARICA;40;
PONTA DO MEIO;MARICA;1;
SERRA DOS VENTOS;BELO JARDIM;1;
MORRO DO SOSSEGO;ENGENHEIRO PAULO DE FRONTIN;4;
SACRA FAMILIA;ENGENHEIRO PAULO DE FRONTIN;1;
LAGO AZUL;ENGENHEIRO PAULO DE FRONTIN;1;
GRAMINHA;ENGENHEIRO PAULO DE FRONTIN;1;
GRAMA;ENGENHEIRO PAULO DE FRONTIN;1;
PACHECO;ENGENHEIRO PAULO DE FRONTIN;3;
SACRA FAMILIA DO TINGUA;ENGENHEIRO PAULO DE FRONTIN;8;
PALMEIRA DA SERRA;ENGENHEIRO PAULO DE FRONTIN;2;
GONDIM;ENGENHEIRO PAULO DE FRONTIN;1;
XEREM;ENGENHEIRO PAULO DE FRONTIN;1;
GONDIN;ENGENHEIRO PAULO DE FRONTIN;1;
BORRACHA;ENGENHEIRO PAULO DE FRONTIN;1;
CENTRO;ENGENHEIRO PAULO DE FRONTIN;4;
MORRO DA QUEROSENE;ENGENHEIRO PAULO DE FRONTIN;1;
TINGUA;ENGENHEIRO PAULO DE FRONTIN;1;
MORRO AZUL DE TINGUA;ENGENHEIRO PAULO DE FRONTIN;18;
RODEIO;ENGENHEIRO PAULO DE FRONTIN;1;
RAMALHO;ENGENHEIRO PAULO DE FRONTIN;1;
JARDIM SANTA INACIA;CARMO;1;
CENTRO;CARMO;3;
INFLUENCIA;CARMO;1;
BOTAFOGO;CARMO;1;
PROGRESSO;CARMO;1;
LOMBA ALTA;ALFREDO WAGNER;1;
CENTRO;RERIUTABA;1;
MONTE CALVARIO;BOM JESUS DO ITABAPOANA;17;
PORTO DO CARRO;BOM JESUS DO ITABAPOANA;1;
ASA BRANCA;BOM JESUS DO ITABAPOANA;4;
JARDIM VALERIA;BOM JESUS DO ITABAPOANA;2;
CARABUCU;BOM JESUS DO ITABAPOANA;1;
CENTRO;BOM JESUS DO ITABAPOANA;6;
PIMENTEL MARQUES;BOM JESUS DO ITABAPOANA;7;
LIMA;BOM JESUS DO ITABAPOANA;2;
SANTA TERESINHA;BOM JESUS DO ITABAPOANA;2;
VILA NOVA;ARACRUZ;1;
LAGOA;PORTO REAL;1;
FREITAS SOARES;PORTO REAL;4;
SAO JOSE;PORTO REAL;1;
PIRATININGA;PORTO REAL;1;
CENTRO;PORTO REAL;3;
JARDIM DAS ACACIAS;PORTO REAL;6;
BULHOES;PORTO REAL;4;
NOVO;IPIAU;1;
SAO JOSE OPERARIO;IPIAU;1;
VILA PASSOS;SAO LUIS;1;
AURORA;SAO LUIS;1;
LARANJEIRAS;FAGUNDES;1;
CENTRO;FAGUNDES;1;
SERRA DA MELANCIA;FAGUNDES;1;
ROCHEDO;CONSELHEIRO LAFAIETE;1;
BRASIL;VITORIA DA CONQUISTA;1;
CENTRO;PASSO FUNDO;2;
PERIGOSO;SAO JOAO DA BARRA;1;
CHATUBA;SAO JOAO DA BARRA;1;
CENTRO;SAO JOAO DA BARRA;21;
CAJUEIRO;SAO JOAO DA BARRA;2;
GRUSSAI;SAO JOAO DA BARRA;3;
CAJUEIRA;SAO JOAO DA BARRA;1;
GRUCAI;SAO JOAO DA BARRA;3;
ASSU;SAO JOAO DA BARRA;1;
BRISA;GUARATIBA;1;
ALVORADA;RESENDE;3;
ALEGRIA;RESENDE;2;
BELA VISTA;RESENDE;1;
BAIXADA OLARIA;RESENDE;3;
VISCONDE DE MAUA;RESENDE;1;
MIRANTE DAS AGULHAS;RESENDE;1;
MORADA DO CONTORNO;RESENDE;3;
PARAISO;RESENDE;39;
CASTELO BRANCO;RESENDE;3;
JARDIM JALISCO;RESENDE;2;
COMERCIAL;RESENDE;1;
BEIRA RIO;RESENDE;1;
SAO CAETANO;RESENDE;4;
MONTESE;RESENDE;2;
FREITA SOARES;RESENDE;2;
CABRAL;RESENDE;25;
LAVAPES;RESENDE;3;
MAROMBA;RESENDE;2;
MANEJO;RESENDE;13;
ENGENHEIRO PASSOS;RESENDE;6;
CENTRO;RESENDE;18;
ALDEIDA DA PRATA;RESENDE;1;
LIBERDADE;RESENDE;5;
VICENTINA;RESENDE;4;
SARACURUNA;RESENDE;1;
SURUBI;RESENDE;3;
ALEGRIA VELHA;RESENDE;1;
CIDADE ALEGRIA;RESENDE;20;
MAUA;RESENDE;5;
ITAPUCA;RESENDE;7;
ALTO DO ESPACO;RESENDE;1;
SANTO AMARO;RESENDE;13;
PORTO REAL;RESENDE;2;
MORADA DAS ROSAS;RESENDE;1;
SETE DE SETEMBRO;GOVERNADOR VALADARES;1;
VILA ISA;GOVERNADOR VALADARES;2;
TURMALINA;GOVERNADOR VALADARES;3;
SANTA TEREZINHA;VARRE-SAI;1;
CENTRO;VARRE-SAI;4;
JARDIM PAULISTA;MARTINOPOLIS;1;
ALMOFALA;ITAREMA;1;
CENTRO;ITALVA;1;
PEDREGULHO;GUARATINGUETA;1;
BARAO DE ANGRA;TRES RIOS;3;
JAQUEIRA;TRES RIOS;5;
MORADA DO SOL;TRES RIOS;1;
PASSATEMPO;TRES RIOS;1;
PURYS;TRES RIOS;2;
PURIZ;TRES RIOS;10;
CAIXA D'AGUA;TRES RIOS;4;
PATIO DA ESTACAO;TRES RIOS;9;
BEMPOSTA;TRES RIOS;2;
TRIANGULO;TRES RIOS;26;
PONTO AZUL;TRES RIOS;4;
BARROS FRANCO;TRES RIOS;2;
CARIRI;TRES RIOS;1;
CENTRO;TRES RIOS;31;
HABITATE;TRES RIOS;2;
MARGEM DIREITA;TRES RIOS;1;
BARRINHA;TRES RIOS;1;
AREAL;TRES RIOS;4;
CANTAGALO;TRES RIOS;6;
VILA ISABEL;TRES RIOS;96;
ITAIPAVA;TRES RIOS;1;
PALMITAL;TRES RIOS;3;
PONTE DAS GARCAS;TRES RIOS;2;
FATIMA;SANTANA DE CATAGUASES;1;
PORTO;CONCEICAO DE MACABU;1;
BOCANIA;CONCEICAO DE MACABU;1;
RODIA;CONCEICAO DE MACABU;2;
CENTRO;CONCEICAO DE MACABU;4;
PARAISO;CONCEICAO DE MACABU;1;
RIBEIRA;CONCEICAO DE MACABU;1;
BALANCE;CONCEICAO DE MACABU;1;
RODEA;CONCEICAO DE MACABU;2;
USINA;CONCEICAO DE MACABU;2;
NOVA BOA VISTA;CONTAGEM;1;
INCONFIDENTES;CONTAGEM;1;
ELDORADO;CONTAGEM;1;
SAPUCAIA;CONTAGEM;1;
RIACHO DAS PEDRAS;CONTAGEM;1;
CONTAGEM;CONTAGEM;1;
PEDRINHA;JUAZEIRO;1;
TRES MARIAS;SAO JOAO NEPOMUCENO;1;
CENTRO;GARANHUNS;1;
BUTANTAN;SAO PAULO;1;
CUPECE;SAO PAULO;1;
JARDIM SAO JORGE;SAO PAULO;1;
VILA INDUSTRIAL;SAO PAULO;1;
ACLIMACAO;SAO PAULO;1;
PERDIZES;SAO PAULO;1;
PARELHINOS;SAO PAULO;1;
PARELHEIROS;SAO PAULO;1;
SAO MIGUEL;SAO PAULO;2;
SAO MIGUEL PAULISTA;SAO PAULO;1;
ITAQUERA;SAO PAULO;3;
JARDIM RINCAO;SAO PAULO;1;
PLANALTO PAULISTA;SAO PAULO;1;
JARDIM ESTER;SAO PAULO;1;
CENTRO;SAO PAULO;6;
BELA VISTA;SAO PAULO;1;
BRAS;SAO PAULO;3;
BOQUEIRAO;SAO PAULO;1;
CIDADE ADEMAR;SAO PAULO;2;
MOCA;SAO PAULO;1;
JOVA RURAL;SAO PAULO;1;
AROUCHE;SAO PAULO;1;
SE;SAO PAULO;2;
RABICHO;ASTOLFO DUTRA;1;
ITANHAUM;ITANHAEM;1;
SAO SEBASTIAO;CASIMIRO DE ABREU;1;
SOCIEDADE FLUMINENSE;CASIMIRO DE ABREU;1;
BARRA;CASIMIRO DE ABREU;2;
VILAGE DO POETA;CASIMIRO DE ABREU;4;
JARDIM MIRAMAR;CASIMIRO DE ABREU;2;
BOA ESPERANCA;CASIMIRO DE ABREU;1;
SANA;CASIMIRO DE ABREU;5;
CASINHAS POPULARES;CASIMIRO DE ABREU;1;
INDUSTRIAL;CASIMIRO DE ABREU;5;
UNAMAR;CASIMIRO DE ABREU;3;
INDAIACU;CASIMIRO DE ABREU;2;
CENTRO;CASIMIRO DE ABREU;10;
PARQUE DO INDAIACU;CASIMIRO DE ABREU;2;
PROFESSOR SOUZA;CASIMIRO DE ABREU;1;
ARROZ;CASIMIRO DE ABREU;1;
BEIRA LINHA;CASIMIRO DE ABREU;1;
PAUMITAL;CASIMIRO DE ABREU;1;
PALMITAL;CASIMIRO DE ABREU;7;
BARRA DE SAO JOAO;CASIMIRO DE ABREU;50;
PERIMETRAL;CASIMIRO DE ABREU;1;
PERIMETRAL LESTE;CASIMIRO DE ABREU;2;
PROFESSOR DE SOUSA;CASIMIRO DE ABREU;1;
MATARUNA;CASIMIRO DE ABREU;11;
MATURANA;CASIMIRO DE ABREU;1;
CENTRO;FERVEDOURO;1;
CANTAREIRAS;MAIRIPORA;1;
PRAIA DA JOAQUINA;FLORIANOPOLIS;1;
ESTREITO;FLORIANOPOLIS;1;
CENTRO;FLORIANOPOLIS;2;
ATERRADO;LORENA;2;
COLONIA;SAO FIDELIS;1;
SAO VICENTE DE PAULA;SAO FIDELIS;3;
BARAO DE MACAUBAS;SAO FIDELIS;1;
CENTRO;SAO FIDELIS;14;
PUREZA;SAO FIDELIS;3;
MATADOURO;SAO FIDELIS;2;
IPUCA;SAO FIDELIS;1;
JOSE PINTO;FEIRA DE SANTANA;1;
GEORGE AMERICO;FEIRA DE SANTANA;1;
CENTRO;SANTO ANDRE;1;
CENTRO;GUARA;1;
CENTRO;UBATUBA;1;
SAO FRANCISCO DE ASSIS;QUATIS;1;
PAZ;QUATIS;1;
BARRINHA;QUATIS;2;
QUATIS;QUATIS;4;
REGINA;BELO HORIZONTE;1;
CARMO SION;BELO HORIZONTE;2;
SAO JOSE;BELO HORIZONTE;1;
BONFIM;BELO HORIZONTE;1;
CAPELINHA;BELO HORIZONTE;1;
GLARIJAR;BELO HORIZONTE;1;
ITAUVINA CARNEIRO VENDA NOVA;BELO HORIZONTE;1;
JULIANA;BELO HORIZONTE;1;
TUPI LAJEDO;BELO HORIZONTE;1;
CASTELO;BELO HORIZONTE;1;
NACIONAL;BELO HORIZONTE;1;
SANTO ANTONIO;BELO HORIZONTE;1;
BARRO PRETO;BELO HORIZONTE;1;
BETINHO;BELO HORIZONTE;1;
INDEPENDENCIA;BELO HORIZONTE;1;
VENDA NOVA;BELO HORIZONTE;1;
MADRE GERTRUDES;BELO HORIZONTE;1;
CONTAGEM;BELO HORIZONTE;2;
CAMPO DA GRUTA;SILVA JARDIM;1;
VARGINHA;SILVA JARDIM;5;
FAZENDA BRASIL;SILVA JARDIM;4;
ALDEIA VELHA;SILVA JARDIM;2;
CENTRO;SILVA JARDIM;4;
REGINOPOLIS;SILVA JARDIM;1;
LAGOA DE JUPINAIBA;SILVA JARDIM;1;
VARGINHAV;SILVA JARDIM;1;
NOSSA SENHORA DA LAPA;SILVA JARDIM;2;
SANTO EXPEDITO;SILVA JARDIM;3;
VARGINIA;SILVA JARDIM;2;
ZONA SETE;UMUARAMA;1;
SAO CRISTOVAO;CABO FRIO;66;
MONTE ALEGRE;CABO FRIO;11;
TAMOIOS;CABO FRIO;119;
AQUARIUS;CABO FRIO;87;
BOTAFOGO;CABO FRIO;10;
SANTO ANTONIO;CABO FRIO;24;
CAICARA;CABO FRIO;3;
PRAIA DO FOGUETE;CABO FRIO;2;
PERO;CABO FRIO;31;
MARIA JOAQUINA;CABO FRIO;4;
CAMPO REDONDO;CABO FRIO;3;
ENCANTO DAS DUNAS;CABO FRIO;1;
GURIRI;CABO FRIO;1;
PALMEIRAS;CABO FRIO;14;
JARDIM ESPERANCA;CABO FRIO;53;
FLORESTINHA;CABO FRIO;11;
TANGARA;CABO FRIO;22;
PARQUE BURLE;CABO FRIO;14;
RASA;CABO FRIO;1;
ARRAIAL;CABO FRIO;1;
UNAMAR TAMOIO;CABO FRIO;177;
PONTA DO AMBROSIO;CABO FRIO;1;
AGUARIOS;CABO FRIO;1;
TAMOIOS UNAMAR;CABO FRIO;1;
CANAA;CABO FRIO;2;
BALNEARIO DAS DUNAS;CABO FRIO;1;
SERRA  PELADA;CABO FRIO;2;
