C BASTOS;RIO DE JANEIRO;2;MAGALHAES BASTOS
LOT MARAVISTA;NITEROI;71;MARAVISTA
M HERMES;RIO DE JANEIRO;2742;MARECHAL HERMES
MAL HERMES;RIO DE JANEIRO;2;MARECHAL HERMES
M GRACA;RIO DE JANEIRO;397;MARIA DA GRACA
M LUZ;NOVA IGUACU;33;MARIA DA LUZ
M PAULA;SAO GONCALO;1989;MARIA PAULA
M TORRES;NITEROI;24;MARTIN TORRES
M PACA;NITEROI;53;MATA PACA
M COUTO;BELFORD ROXO;788;MIGUEL COUTO
MTE CASTELO;NOVA IGUACU;42;MONTE CASTELO
MTE SERRAT;ITAGUAI;53;MONTE SERRAT
M AGUDO;NOVA IGUACU;25;MORRO AGUDO
M NOVO;MAGE;43;MUNDO NOVO
N SRA DA GLORIA;QUEIMADOS;213;NOSSA SENHORA DA GLORIA
N S GLORIA;QUEIMADOS;34;NOSSA SENHORA DA GLORIA
N PAZ;SAO GONCALO;69;NOSSA SENHORA DA PAZ
N S GRACAS;BELFORD ROXO;117;NOSSA SENHORA DAS GRACAS
N S FATIMA;JAPERI;97;NOSSA SENHORA DE FATIMA
N S CARMO;DUQUE DE CAXIAS;39;NOSSA SENHORA DO CARMO
N AMERICA;NOVA IGUACU;122;NOVA AMERICA
N ATLANTICA;QUEIMADOS;41;NOVA ATLANTICA
N AURORA;BELFORD ROXO;246;NOVA AURORA
N BELEM;JAPERI;297;NOVA BELEM
N BRASILIA;NOVA IGUACU;22;NOVA BRASILIA
N CAMPINAS;DUQUE DE CAXIAS;1186;NOVA CAMPINAS
N CAMPINA;DUQUE DE CAXIAS;228;NOVA CAMPINAS
N CIDADE;SAO GONCALO;1767;NOVA CIDADE
N ESPERANCA;BARRA MANSA;44;NOVA ESPERANCA
N GRECIA;SAO GONCALO;135;NOVA GRECIA
N HOLANDA;MACAE;22;NOVA HOLANDA
N LUZ;NOVA IGUACU;21;NOVA LUZ
N MARILIA;MAGE;77;NOVA MARILIA
N SEPETIBA;RIO DE JANEIRO;6;NOVA SEPETIBA
NV SEPETIBA;RIO DE JANEIRO;1;NOVA SEPETIBA
N ELDORADO;BELFORD ROXO;100;NOVO ELDORADO
